Scramble,Scramble Length,Solution,Solution Length,Heuristic Type,Wall Time (ns),Node Visited
R' F,2,F' R,2,All L0,2442100,7
D' F',2,F U,2,All L0,34669900,105
B' L',2,R U,2,All L0,72539500,225
D U,2,U' U',2,All L0,42903800,131
U' D F',3,F,1,All L0,6583800,15
B' D' F',3,F U R,3,All L0,148454500,482
U' L' R',3,R' R' F,3,All L0,301191600,994
B U' R,3,R' U F',3,All L0,292815200,967
B L B,3,F' U' R',3,All L0,92254100,294
F U F,3,F' U' F',3,All L0,7155500,17
B L L,3,R' R' F',3,All L0,306750500,1013
U B' U',3,U F R',3,All L0,241166400,797
L B F',3,U',1,All L0,8954600,21
D R' U',3,U R U',3,All L0,264578100,874
D B' R,3,R' F R',3,All L0,277617400,918
B' D' B,3,F' R F,3,All L0,13230800,33
R D L',3,R F' R',3,All L0,316110200,1043
D' R R,3,R' R' U,3,All L0,327556300,1086
U' D L,3,R',1,All L0,12608600,33
U' R D,3,U' F' R,3,All L0,175977600,576
D' L B R,4,R' F' U' F,4,All L0,1315203100,4364
D B' L' F,4,F' R U R',4,All L0,576711700,1918
D D B F',4,R' R',2,All L0,63449900,200
B' R' D L',4,R F' R U,4,All L0,1564673200,5235
R B' U' L',4,R F R F',4,All L0,1611463400,5393
D' B' F U',4,U R,2,All L0,52590300,164
R' R' R' L,4,R' R',2,All L0,65172400,205
L' D B U',4,U F' R' U,4,All L0,1088413100,3632
F D' U B',4,F U',2,All L0,28496700,84
F U' L R,4,R' R' F U',4,All L0,1487868400,4973
L R L' R',4,,0,All L0,408400,1
F' R' D' F',4,F U F R,4,All L0,708748700,2376
U' R L L,4,R U,2,All L0,70888300,225
F F R B,4,F' U' F' F',4,All L0,421728900,1404
D' F' D U',4,R U,2,All L0,6318800,16
U' R B' U',4,U F U' F,4,All L0,1126926700,3779
B' U' R L F,5,F' R' R' F U,5,All L0,2677169500,8991
B' B' R F L',5,R U' R' U' U',5,All L0,8202248600,27550
L R' U' F B,5,F' F' R,3,All L0,83531100,264
U' F' U' L U,5,U' R' F U R,5,All L0,5029713800,16958
D' D' F' D' U,5,R F' F',3,All L0,311025100,1020
D L D' R L',5,F R' U',3,All L0,166405900,546
F' D' L' U' U',5,U' U' R F U,5,All L0,4776583900,16052
U D R D R,5,R' U' F' R' R',5,All L0,6974516000,23449
R' U' F' U F',5,F U' F U R,5,All L0,167174500,546
R' F' R' R' R',5,R' F R,3,All L0,38819600,117
U D R' F R,5,R' F' R U' U',5,All L0,6666752400,22473
U' F' F' L' U,5,U' R U' U' F,5,All L0,5117576700,17292
F R F' D' F,5,F' U R U' R',5,All L0,2478644000,8347
F U B' D' L,5,R' F R F' R',5,All L0,6846874300,22953
F' D' L' F L',5,R U' R U F,5,All L0,8278664900,27771
F R L F B,5,F' F' U' U' R',5,All L0,1823403500,6142
F' D' R L U' R',6,R U R' R' F R,6,All L0,42787447000,143909
F' L D R U' D,6,F' R' F' U,4,All L0,501225800,1658
D' B U U R' U,6,U' R U' U' F' R,6,All L0,25462576300,86138
U' D' L U' R U,6,U' R' U R' F' F',6,All L0,24669194100,83430
R U' R' U R' R',6,R' R' U' R U R',6,All L0,1687187800,5715
R' F' R U' U' F,6,F' U' U' R' F R,6,All L0,512184300,1706
L' D' B F B F',6,F' F' U R,4,All L0,384087900,1274
F F D L D' B',6,F R F' U' F' F',6,All L0,903163800,3026
U B F' D B' D',6,U R U' R',4,All L0,1275174200,4300
D D F' L' U' D',6,U' U' F U R' R',6,All L0,22985646400,77738
